Genius,KenPom,HDI,HDIW,Conf,URL,URLW
St. Mary's (MD),,SMD,SMDW,,https://smcmathletics.com/sports/mens-basketball/roster/{season_42},https://smcmathletics.com/sports/womens-basketball/roster/{season_42}
St. Norbert,,STN,STNW,,https://athletics.snc.edu/sports/mens-basketball/roster/{season_42},https://athletics.snc.edu/sports/womens-basketball/roster/{season_42}
St. Olaf,,SOF,SOFW,,https://athletics.stolaf.edu/sports/mens-basketball/roster/{season_42},https://athletics.stolaf.edu/sports/womens-basketball/roster/{season_42}
St. Scholastica,,STS,STSW,,https://csssaints.com/sports/mens-basketball/roster/{season_42},https://csssaints.com/sports/womens-basketball/roster/{season_42}
St. Thomas (TX),,STX,STXW,,https://ustcelts.com/sports/mens-basketball/roster/{season_42},https://ustcelts.com/sports/womens-basketball/roster/{season_42}
Stevens,,STV,STVW,,https://stevensducks.com/sports/mens-basketball/roster/{season_42},https://stevensducks.com/sports/womens-basketball/roster/{season_42}
Stevenson,,VNS,VNSW,,https://gomustangsports.com/sports/mbball/roster/{season_42},https://gomustangsports.com/sports/wbball/roster/{season_42}
Stockton,,STK,STKW,,https://stocktonathletics.com/sports/mens-basketball/roster/{season_42},https://stocktonathletics.com/sports/womens-basketball/roster/{season_42}
Suffolk,,SFK,SFKW,,https://www.gosuffolkrams.com/sports/mbkb/{season_42}/roster,https://www.gosuffolkrams.com/sports/wbkb/{season_42}/roster
SUNY Brockport,,SBP,SBPW,,https://gobrockport.com/sports/mens-basketball/roster/{season_42},https://gobrockport.com/sports/womens-basketball/roster/{season_42}
SUNY Canton,,SCT,SCTW,,https://rooathletics.com/sports/mens-basketball/roster/{season_42},https://rooathletics.com/sports/womens-basketball/roster/{season_42}
SUNY Delhi,,SDL,SDLW,,https://delhibroncos.com/sports/mbkb/{season_42}/roster,https://delhibroncos.com/sports/wbkb/{season_42}/roster
SUNY Geneseo,,SGN,SGNW,,https://geneseoknights.com/sports/mens-basketball/roster/{season_42},https://geneseoknights.com/sports/womens-basketball/roster/{season_42}
SUNY Maritime,,SMR,SMRW,,https://maritimeathletics.com/sports/mens-basketball/roster/{season_42},
SUNY Morrisville,,SMV,SMVW,,https://morrisvillemustangs.com/sports/mens-basketball/roster/{season_42},https://morrisvillemustangs.com/sports/womens-basketball/roster/{season_42}
SUNY New Paltz,,SNP,SNPW,,https://nphawks.com/sports/mens-basketball/roster/{season_44},https://nphawks.com/sports/womens-basketball/roster/{season_44}
SUNY Oneonta,,SON,SONW,,https://oneontaathletics.com/sports/mens-basketball/roster/{season_42},https://oneontaathletics.com/sports/womens-basketball/roster/{season_42}
SUNY Poly,,SPL,SPLW,,https://wildcats.sunypoly.edu/sports/mens-basketball/roster/{season_42},https://wildcats.sunypoly.edu/sports/womens-basketball/roster/{season_42}
SUNY Potsdam,,SPD,SPDW,,https://potsdambears.com/sports/mens-basketball/roster/{season_42},https://potsdambears.com/sports/womens-basketball/roster/{season_42}
Susquehanna,,SQH,SQHW,,https://suriverhawks.com/sports/mens-basketball/roster/{season_42},https://suriverhawks.com/sports/womens-basketball/roster/{season_42}
Swarthmore,,SWR,SWRW,,https://swarthmoreathletics.com/sports/mens-basketball/roster/{season_42},https://swarthmoreathletics.com/sports/womens-basketball/roster/{season_42}
TCNJ,,CNJ,CNJW,,https://tcnjathletics.com/sports/mens-basketball/roster/{season_42},https://tcnjathletics.com/sports/womens-basketball/roster/{season_42}
Texas Lutheran,,TLU,TLUW,,https://tlubulldogs.com/sports/mens-basketball/roster/{season_42},https://tlubulldogs.com/sports/womens-basketball/roster/{season_42}
Texas-Dallas,,UTD,UTDW,,https://utdcomets.com/sports/mens-basketball/roster/{season_42},https://utdcomets.com/sports/womens-basketball/roster/{season_42}
Thiel,,THL,THLW,,https://thielathletics.com/sports/mens-basketball/roster/{season_42},https://thielathletics.com/sports/womens-basketball/roster/{season_42}
Thomas (ME),,TME,TMEW,,https://athletics.thomas.edu/sports/mens-basketball/roster/{season_42},https://athletics.thomas.edu/sports/womens-basketball/roster/{season_42}
Transylvania,,TSV,TSVW,,https://www.transysports.com/sports/mens-basketball/roster/{season_42},https://www.transysports.com/sports/womens-basketball/roster/{season_42}
Trine,,TRN,TRNW,,https://trinethunder.com/sports/mens-basketball/roster/{season_42},https://trinethunder.com/sports/womens-basketball/roster/{season_42}
Trinity (CT),,TNC,TNCW,,https://bantamsports.com/sports/mens-basketball/roster/{season_42},https://bantamsports.com/sports/womens-basketball/roster/{season_42}
Trinity (TX),,TNY,TNYW,,https://trinitytigers.com/sports/mens-basketball/roster/{season_42},https://trinitytigers.com/sports/womens-basketball/roster/{season_42}
Tufts,,TFT,TFTW,,https://gotuftsjumbos.com/sports/mens-basketball/roster/{season_42},https://gotuftsjumbos.com/sports/womens-basketball/roster/{season_42}
U New England,University of New England,UNE,UNEW,,https://athletics.une.edu/sports/mens-basketball/roster/{season_44},https://athletics.une.edu/sports/womens-basketball/roster/{season_44}
UC Santa Cruz,,UCZ,UCZW,,https://goslugs.com/sports/mens-basketball/roster/{season_42},https://goslugs.com/sports/womens-basketball/roster/{season_42}
UChicago,,UCH,UCHW,,https://athletics.uchicago.edu/sports/mens-basketball/roster/{season_42},https://athletics.uchicago.edu/sports/womens-basketball/roster/{season_42}
UMass Boston,,MAB,MABW,,https://beaconsathletics.com/sports/mens-basketball/roster/{season_42},https://beaconsathletics.com/sports/womens-basketball/roster/{season_42}
UMass Dartmouth,,MAD,MADW,,https://corsairathletics.com/sports/mens-basketball/roster/{season_42},https://corsairathletics.com/sports/womens-basketball/roster/{season_42}
Union (NY),,UNY,UNYW,,https://unionathletics.com/sports/mens-basketball/roster/{season_42},https://unionathletics.com/sports/womens-basketball/roster/{season_42}
Ursinus,,URS,URSW,,https://ursinusathletics.com/sports/mens-basketball/roster/{season_42},https://ursinusathletics.com/sports/womens-basketball/roster/{season_42}
Utica,,UTC,UTCW,,https://uticapioneers.com/sports/mens-basketball/roster/{season_44},https://uticapioneers.com/sports/womens-basketball/roster/{season_44}
UW-River Falls,,WRF,WRFW,,https://uwrfsports.com/sports/mens-basketball/roster/{season_42},https://uwrfsports.com/sports/womens-basketball/roster/{season_42}
Va. Wesleyan,Virginia Wesleyan,VAW,VAWW,,https://vwuathletics.com/sports/mens-basketball/roster/{season_42},https://vwuathletics.com/sports/womens-basketball/roster/{season_42}
Valley Forge,,VFG,VFGW,,https://uvfpatriots.com/sports/mens-basketball/roster/{season_44},https://uvfpatriots.com/sports/womens-basketball/roster/{season_44}
Vassar,,VSR,VSRW,,https://www.vassarathletics.com/sports/mens-basketball/roster/{season_42},https://www.vassarathletics.com/sports/womens-basketball/roster/{season_42}
VTSU Castleton,,VSC,VSCW,,https://castletonsports.com/sports/mens-basketball/roster/{season_42},https://castletonsports.com/sports/womens-basketball/roster/{season_42}
VTSU Lyndon,,VSL,VSLW,,https://vtsuhornets.com/sports/mens-basketball/roster/{season_42},https://vtsuhornets.com/sports/womens-basketball/roster/{season_42}
VTSU-Johnson,,VSJ,VSJW,,https://www.nvubadgers.com/sports/mbkb/{season_42}/roster,https://www.nvubadgers.com/sports/wbkb/{season_42}/roster
Wabash,,WAB,WABW,,https://sports.wabash.edu/sports/mens-basketball/roster/{season_44},
Warren Wilson,,WRW,WRWW,,https://warrenwilsonowls.com/sports/mens-basketball/roster/{season_42},https://warrenwilsonowls.com/sports/womens-basketball/roster/{season_42}
Wartburg,,WBG,WBGW,,https://go-knights.net/sports/mens-basketball/roster/{season_42},https://go-knights.net/sports/womens-basketball/roster/{season_42}
Wash. & Jeff.,,WAJ,WAJW,,https://gopresidents.com/sports/mens-basketball/roster/{season_42},https://gopresidents.com/sports/womens-basketball/roster/{season_42}
Wash. & Lee,,WLE,WLEW,,https://generalssports.com/sports/mens-basketball/roster/{season_42},https://generalssports.com/sports/womens-basketball/roster/{season_42}
Washington Col.,,WAC,WACW,,https://washcollsports.com/sports/mens-basketball/roster/{season_42},https://washcollsports.com/sports/womens-basketball/roster/{season_42}
WashU,,WAU,WAUW,,https://washubears.com/sports/mens-basketball/roster/{season_42},https://washubears.com/sports/womens-basketball/roster/{season_42}
Waynesburg,,WYN,WYNW,,https://waynesburgsports.com/sports/mens-basketball/roster/{season_42},https://waynesburgsports.com/sports/womens-basketball/roster/{season_42}
Webster,,WBR,WBRW,,https://websterathletics.com/sports/mens-basketball/roster/{season_42},https://websterathletics.com/sports/womens-basketball/roster/{season_42}
Wells,,WEL,WELW,,,
Wentworth,,WNT,WNTW,,https://www.wentworthathletics.com/sports/mbkb/{season_42}/roster,https://www.wentworthathletics.com/sports/wbkb/{season_42}/roster
Wesleyan (CT),,WSY,WSYW,,https://athletics.wesleyan.edu/sports/mens-basketball/roster/{season_42},https://athletics.wesleyan.edu/sports/womens-basketball/roster/{season_42}
Westcliff,,WCF,WCFW,,https://westcliffathletics.com/sports/mbkb/{season_42}/roster,https://westcliffathletics.com/sports/wbkb/{season_42}/roster
WestConn,,WCN,WCNW,,https://westconnathletics.com/sports/mens-basketball/roster/{season_42},https://westconnathletics.com/sports/womens-basketball/roster/{season_42}
Western New Eng.,,WNE,WNEW,,https://wnegoldenbears.com/sports/mens-basketball/roster/{season_42},https://wnegoldenbears.com/sports/womens-basketball/roster/{season_42}
Westfield St.,,WFS,WFSW,,https://westfieldstateowls.com/sports/mbkb/{season_42}/roster,https://westfieldstateowls.com/sports/wbkb/{season_42}/roster
Westminster (MO),,WMO,WMOW,,https://wcbluejays.wcmo.edu/sports/mens-basketball/roster/{season_42},https://wcbluejays.wcmo.edu/sports/womens-basketball/roster/{season_42}
Westminster (PA),,WPA,WPAW,,https://athletics.westminster.edu/sports/mens-basketball/roster/{season_42},https://athletics.westminster.edu/sports/womens-basketball/roster/{season_42}
Wheaton (IL),,WHI,WHIW,,https://athletics.wheaton.edu/sports/mens-basketball/roster/{season_42},https://athletics.wheaton.edu/sports/womens-basketball/roster/{season_42}
Wheaton (MA),,WHM,WHMW,,https://wheatoncollegelyons.com/sports/mens-basketball/roster/{season_42},https://wheatoncollegelyons.com/sports/womens-basketball/roster/{season_42}
Whitman,,WHT,WHTW,,https://whitmanblues.com/sports/mens-basketball/roster/{season_44},https://whitmanblues.com/sports/womens-basketball/roster/{season_44}
Whittier,,WTR,WTRW,,https://wcpoets.com/sports/mens-basketball/roster/{season_42},https://wcpoets.com/sports/womens-basketball/roster/{season_42}
Whitworth,,WTH,WTHW,,https://whitworthpirates.com/sports/mens-basketball/roster/{season_42},https://whitworthpirates.com/sports/womens-basketball/roster/{season_42}
Widener,,WDN,WDNW,,https://widenerpride.com/sports/mens-basketball/roster/{season_42},https://widenerpride.com/sports/womens-basketball/roster/{season_42}
Wilkes,,WLK,WLKW,,https://gowilkesu.com/sports/mens-basketball/roster/{season_44},https://gowilkesu.com/sports/womens-basketball/roster/{season_44}
Willamette,,WLT,WLTW,,https://www.wubearcats.com/sports/mbkb/{season_42}/roster,https://www.wubearcats.com/sports/wbkb/{season_42}/roster
William Peace,,WPU,WPUW,,https://gopeacepacers.com/sports/mens-basketball/roster/{season_42},https://gopeacepacers.com/sports/womens-basketball/roster/{season_42}
Williams,,WMS,WMSW,,https://ephsports.williams.edu/sports/mens-basketball/roster/{season_42},https://ephsports.williams.edu/sports/womens-basketball/roster/{season_42}
Wilmington (OH),,WMT,WMTW,,https://wilmingtonquakers.com/sports/mens-basketball/roster/{season_42},https://wilmingtonquakers.com/sports/womens-basketball/roster/{season_42}
Wilson,,WLN,WLNW,,https://wilsonphoenix.com/sports/mens-basketball/roster/{season_42},https://wilsonphoenix.com/sports/womens-basketball/roster/{season_42}
Wis. Lutheran,,WLR,WLRW,,https://wlcsports.com/sports/mens-basketball/roster/{season_42},https://wlcsports.com/sports/womens-basketball/roster/{season_42}
Wis.-Eau Claire,,WEC,WECW,,https://blugolds.com/sports/mens-basketball/roster/{season_42},https://blugolds.com/sports/womens-basketball/roster/{season_42}
Wis.-La Crosse,,WLC,WLCW,,https://uwlathletics.com/sports/mens-basketball/roster/{season_42},https://uwlathletics.com/sports/womens-basketball/roster/{season_42}
Wis.-Oshkosh,,WOK,WOKW,,https://uwoshkoshtitans.com/sports/mens-basketball/roster/{season_42},https://uwoshkoshtitans.com/sports/womens-basketball/roster/{season_42}
Wis.-Platteville,,WPL,WPLW,,https://letsgopioneers.com/sports/mens-basketball/roster/{season_42},https://letsgopioneers.com/sports/womens-basketball/roster/{season_42}
Wis.-Stevens Point,,WSP,WSPW,,https://athletics.uwsp.edu/sports/mens-basketball/roster/{season_42},https://athletics.uwsp.edu/sports/womens-basketball/roster/{season_42}
Wis.-Stout,,WST,WSTW,,https://stoutbluedevils.com/sports/mens-basketball/roster/{season_42},https://stoutbluedevils.com/sports/womens-basketball/roster/{season_42}
Wis.-Superior,,WSR,WSRW,,https://uwsyellowjackets.com/sports/mens-basketball/roster/{season_42},https://uwsyellowjackets.com/sports/womens-basketball/roster/{season_42}
Wis.-Whitewater,,WWT,WWTW,,https://uwwsports.com/sports/mens-basketball/roster/{season_42},https://uwwsports.com/sports/womens-basketball/roster/{season_42}
Wittenberg,,WTB,WTBW,,https://wittenbergtigers.com/sports/mbkb/{season_42}/roster,https://wittenbergtigers.com/sports/wbkb/{season_42}/roster
Wm. Paterson,,WMP,WMPW,,https://www.wpupioneers.com/sports/mens-basketball/roster/{season_44},https://www.wpupioneers.com/sports/womens-basketball/roster/{season_44}
Wooster,,WOO,WOOW,,https://woosterathletics.com/sports/mens-basketball/roster/{season_42},https://woosterathletics.com/sports/womens-basketball/roster/{season_42}
Worcester St.,,WOR,WORW,,https://www.wsulancers.com/sports/mbkb/{season_42}/roster,https://www.wsulancers.com/sports/wbkb/{season_42}/roster
WPI,,WPI,WPIW,,https://athletics.wpi.edu/sports/mens-basketball/roster/{season_42},https://athletics.wpi.edu/sports/womens-basketball/roster/{season_42}
